,,JAZZ EVENTS MANAGEMENT
,,STAFF DIRECTORY REPORT — May 2026
,,Generated: May 15 2026
,
,,STAFF MEMBERS
STAFF NAME,ROLE,EMAIL,STATUS,EVENTS ASSIGNED,DAYS ACTIVE
"Staff, Adrian Cole R.",STAFF,adrian.staff101@gmail.com,Offline,0,0
"Staff, Beatrice Anne M.",STAFF,beatrice.staff102@gmail.com,Offline,0,0
"Staff, Charles Vincent T.",STAFF,charles.staff103@gmail.com,Offline,0,0
"Staff, Denise Marie P.",STAFF,denise.staff104@gmail.com,Offline,0,0
"Staff, Emmanuel Jose L.",STAFF,emmanuel.staff105@gmail.com,Offline,0,0
"Staff, Francesca Joy D.",STAFF,francesca.staff106@gmail.com,Offline,0,0
"Staff, Gabriel Louis A.",STAFF,gabriel.staff107@gmail.com,Offline,0,0
"Staff, Hannah Claire V.",STAFF,hannah.staff108@gmail.com,Offline,0,0
"Staff, Ivan Matthew G.",STAFF,ivan.staff109@gmail.com,Offline,0,0
"Staff, Jasmine Nicole S.",STAFF,jasmine.staff110@gmail.com,Offline,0,0
"Staff, Kenneth Paul F.",STAFF,kenneth.staff111@gmail.com,Offline,0,0
"Staff, Lara Mae C.",STAFF,lara.staff112@gmail.com,Offline,0,0
"Staff, Michael Andre J.",STAFF,michael.staff113@gmail.com,Offline,0,0
"Staff, Nina Camille O.",STAFF,nina.staff114@gmail.com,Offline,0,0
"Staff, Oliver James T.",STAFF,oliver.staff115@gmail.com,Offline,0,0
"Staff, Patricia Anne V.",STAFF,patricia.staff116@gmail.com,Offline,0,0
"Staff, Quentin Miguel D.",STAFF,quentin.staff117@gmail.com,Offline,0,0
"Staff, Rachel Marie B.",STAFF,rachel.staff118@gmail.com,Offline,0,0
"Staff, Steven Kyle L.",STAFF,steven.staff119@gmail.com,Offline,0,0
"Staff, Tiffany Rose E.",STAFF,tiffany.staff120@gmail.com,Offline,0,0
,
TOTAL STAFF:,20,,,
,
This report is system-generated by the Jazz Events Management System. For internal use only.
